CID;LID;NID;NAME;NCOMMENT;OFFICIALNAME
852;1;323;61. sz. főút: Desedai csomópont - lehajtó Nagykanizsa felől;;
852;1;324;61. sz. főút: Füredi csomópont - felhajtó Dunaföldvár felé;;
852;1;325;61. sz. főút: Füredi csomópont - felhajtó Nagykanizsa felé;;
852;1;326;61. sz. főút: Füredi csomópont - lehajtó Dunaföldvár felől;;
852;1;327;61. sz. főút: Füredi csomópont - lehajtó Nagykanizsa felől;;
852;1;328;61. sz. főút: Jutai csomópont - felhajtó Dunaföldvár felé;;
852;1;329;61. sz. főút: Jutai csomópont - felhajtó Nagykanizsa felé;;
852;1;330;61. sz. főút: Jutai csomópont - lehajtó Dunaföldvár felől;;
852;1;331;61. sz. főút: Jutai csomópont - lehajtó Nagykanizsa felől;;
852;1;332;61. sz. főút: Toponári csomópont - felhajtó Dunaföldvár felé;;
852;1;333;61. sz. főút: Toponári csomópont - felhajtó Nagykanizsa felé;;
852;1;334;61. sz. főút: Toponári csomópont - lehajtó Dunaföldvár felől;;
852;1;335;61. sz. főút: Toponári csomópont - lehajtó Nagykanizsa felől;;
852;1;336;62. sz. főút;;
852;1;337;6204. sz. út;;
852;1;338;6205. sz. út;;
852;1;339;6207. sz. út;;
852;1;340;6208. sz. út;;
852;1;341;6219. sz. út;;
852;1;342;6228. sz. út;;
852;1;343;6231. sz. út;;
852;1;344;6232. sz. út;;
852;1;345;6234. sz. út;;
852;1;346;63. sz. főút;;
852;1;347;6307. sz. út;;
852;1;348;631. sz. főút;;
852;1;349;65. kijárat;;
852;1;350;65. sz. főút;;
852;1;351;6501. sz. út;;
852;1;352;6513. sz. út;;
852;1;353;6514. sz. út;;
852;1;354;6524. sz. út;;
852;1;355;6548. sz, út;;
852;1;356;6549. sz. út;;
852;1;357;66. sz. főút;;
852;1;358;6625. sz. út;;
852;1;359;66346. sz út.;;
852;1;360;67 sz. főút: Kaposfüred - felhajtó Szigetvár felé;;
852;1;361;67 sz. főút: Kaposfüred - lehajtó Szigetvár felől;;
852;1;362;67 sz. főút: Mernye dél - felhajtó Balatonszemes felé;;
852;1;363;67 sz. főút: Mernye dél - lehajtó Balatonszemes felől;;
852;1;364;67 sz. főút: Mernye dél - lehajtó Szigetvár felől;;
852;1;365;67 sz. főút: Somogyaszaló - felhajtó Balatonszemes felé;;
852;1;366;67 sz. főút: Somogyaszaló - felhajtó Szigetvár felé;;
852;1;367;67 sz. főút: Somogyaszaló - lehajtó Balatonszemes felől;;
852;1;368;67 sz. főút: Somogyaszaló - lehajtó Szigetvár felől;;
852;1;369;67 sz. főút: Somogybabod Off-road pálya - felhajtó Balatonszemes felé;;
852;1;370;67 sz. főút: Somogybabod Off-road pálya - lehajtó Szigetvár felől;;
852;1;371;67 sz. főút: Somogybabod/Kisbabod - felhajtó Balatonszemes felé;;
852;1;372;67 sz. főút: Somogybabod/Kisbabod - lehajtó Balatonszemes felől;;
852;1;373;67 sz. főút: Somogybabod/Kisbabod - lehajtó Szigetvár felől;;
852;1;374;67 sz. főút: Visz/Látrány - felhajtó Balatonszemes felé;;
852;1;375;67 sz. főút: Visz/Látrány - felhajtó Szigetvár felé;;
852;1;376;67 sz. főút: Visz/Látrány - lehajtó Balatonszemes felől;;
852;1;377;67 sz. főút: Visz/Látrány - lehajtó Szigetvár felől;;
852;1;378;67. sz. főút;;
852;1;379;67. sz. főút: Kaposfüred;;
852;1;380;67. sz. főút: Kaposfüred (észak);;
852;1;381;67. sz. főút: Mernye dél;;
852;1;382;67. sz. főút: Mernye észak;;
852;1;383;67. sz. főút: Somogyaszaló;;
852;1;384;6701. sz. út;;
852;1;385;6709. sz. út;;
852;1;386;6711. sz. út;;
852;1;387;6713. sz. út;;
852;1;388;6714. sz. út;;
852;1;389;67406. sz. út;;
852;1;390;68. sz. főút;;
852;1;391;7 sz. főút: Székesfehérvár, Móri út - felhajtó Budapest felé;;
852;1;392;7 sz. főút: Székesfehérvár, Móri út - felhajtó Letenye felé;;
852;1;393;7 sz. főút: Székesfehérvár, Móri út - lehajtó Budapest felől;;
852;1;394;7 sz. főút: Székesfehérvár, Móri út - lehajtó Letenye felől;;
852;1;395;7. sz. főút;;
852;1;396;71. sz. főút;;
852;1;397;710. sz. főút;;
852;1;398;71117. sz. út;;
852;1;399;7204. sz, út;;
852;1;400;72106. sz. út;;
852;1;401;7216. sz. út;;
852;1;402;73. kijárat;;
852;1;403;7354. sz. út;;
852;1;404;74. sz. főút;;
852;1;405;74181. sz. út;;
852;1;406;74189. sz. út;;
852;1;407;7501. sz. út;;
852;1;408;75101. sz. út;;
852;1;409;7538. sz. út;;
852;1;410;76. sz főút;;
852;1;411;8 sz. főút: Almádi úti csomópont - felhajtó Rábafüzes felé;;
852;1;412;8 sz. főút: Almádi úti csomópont - felhajtó Székesfehérvár felé;;
852;1;413;8 sz. főút: Almádi úti csomópont - lehajtó Rábafüzes felől;;
852;1;414;8 sz. főút: Almádi úti csomópont - lehajtó Székesfehérvár felől;;
852;1;415;8 sz. főút: Bándi elágazás - felhajtó Székesfehérvár felé;;
852;1;416;8 sz. főút: Bándi elágazás - lehajtó Székesfehérvár felől;;
852;1;417;8 sz. főút: Herend/Szentgál - felhajtó Rábafüzes felé;;
852;1;418;8 sz. főút: Herend/Szentgál - felhajtó Székesfehérvár felé;;
852;1;419;8 sz. főút: Herend/Szentgál - lehajtó Rábafüzes felől;;
852;1;420;8 sz. főút: Herend/Szentgál - lehajtó Székesfehérvár felől;;
852;1;421;8 sz. főút: Litéri csomópont - felhajtó Rábafüzes határátkelőhely felé;;
852;1;422;8 sz. főút: Litéri csomópont - felhajtó Székesfehérvár felé;;
852;1;423;8 sz. főút: Litéri csomópont - lehajtó Rábafüzes határátkelőhely felől;;
852;1;424;8 sz. főút: Litéri csomópont - lehajtó Székesfehérvár felől;;
852;1;425;8 sz. főút: Márkó nyugat - felhajtó Rábafüzes felé;;
852;1;426;8 sz. főút: Márkó nyugat - felhajtó Székesfehérvár felé;;
852;1;427;8 sz. főút: Márkó nyugat - lehajtó Rábafüzes felől;;
852;1;428;8 sz. főút: Márkó nyugat - lehajtó Székesfehérvár felől;;
852;1;429;8 sz. főút: Ösküi csomópont - felhajtó Rábafüzes határátkelőhely felé;;
852;1;430;8 sz. főút: Ösküi csomópont - felhajtó Székesfehérvár felé;;
852;1;431;8 sz. főút: Ösküi csomópont - lehajtó Rábafüzes határátkelőhely felől;;
852;1;432;8 sz. főút: Ösküi csomópont - lehajtó Székesfehérvár felől;;
852;1;433;8 sz. főút: Székesfehérvár ÉNy elkerülő út - felhajtó Rábafüzes felé;;
852;1;434;8 sz. főút: Székesfehérvár ÉNy elkerülő út - lehajtó Rábafüzes felől;;
852;1;435;8 sz. főút: Veszprém kelet - felhajtó Rábafüzes határátkelőhely felé;;
852;1;436;8 sz. főút: Veszprém kelet - felhajtó Székesfehérvár felé;;
852;1;437;8 sz. főút: Veszprém kelet - lehajtó Rábafüzes határátkelőhely felől;;
852;1;438;8 sz. főút: Veszprém kelet - lehajtó Székesfehérvár felől;;
852;1;439;8 sz. főút: Veszprém, Füredi út - felhajtó Rábafüzes felé;;
852;1;440;8 sz. főút: Veszprém, Füredi út - felhajtó Székesfehérvár felé;;
852;1;441;8 sz. főút: Veszprém, Füredi út - lehajtó Rábafüzes felől;;
852;1;442;8 sz. főút: Veszprém, Füredi út - lehajtó Székesfehérvár felől;;
852;1;443;8. sz. főút;;
852;1;444;8. sz. főút, Inotai csomópont;;
852;1;445;8. sz. főút: Inota;;
852;1;446;8. sz. főút: Inota - felhajtó Rábafüzes felé;;
852;1;447;8. sz. főút: Inota - felhajtó Székesfehérvár felé;;
852;1;448;8. sz. főút: Inota - lehajtó Rábafüzes felől;;
852;1;449;8. sz. főút: Inota - lehajtó Székesfehérvár felől;;
852;1;450;8. sz. főút: Várpalota nyugat;;
852;1;451;8. sz. főút: Várpalota nyugat - felhajtó Rábafüzes felé;;
852;1;452;8. sz. főút: Várpalota nyugat - felhajtó Székesfehérvár felé;;
852;1;453;8. sz. főút: Várpalota nyugat - lehajtó Rábafüzes felől;;
852;1;454;8. sz. főút: Várpalota nyugat - lehajtó Székesfehérvár felől;;
852;1;455;8. sz. főút: Veszprém kelet;;
852;1;456;801 sz. főút: 8. sz. főút - felhajtó Székesfehérvár felé;;
852;1;457;801 sz. főút: 8. sz. főút - lehajtó Székesfehérvár felől;;
852;1;458;801. sz. főút;;
852;1;459;80626. sz. út;;
852;1;460;80860 sz. út: Veszprém elkerülő út - felhajtó Veszprém felé;;
852;1;461;80860 sz. út: Veszprém elkerülő út - lehajtó Veszprém elkerülő út felé;;
852;1;462;80860. sz. út: Veszprém elkerülő - lehajtó Veszprém déli elkerülő felé;;
852;1;463;80860. sz. út: Veszprém elkerülő út - felhajtó 8. sz. főút felé;;
852;1;464;80860. sz. út: Veszprém elkerülő út - lehajtó 8. sz. főút felől;;
852;1;465;81 sz. főút: Székesfehérvár, Móri út - felhajtó Győr felé;;
852;1;466;81 sz. főút: Székesfehérvár, Móri út - lehajtó Győr felől;;
852;1;467;81 sz. főút: Szfehérvár, Móri út - felhajtó Szfehérvár Centrum felé;;
852;1;468;8101. sz. út;;
852;1;469;8102. sz. út;;
852;1;470;8103. sz. út;;
852;1;471;8105. sz. út;;
852;1;472;8107. sz. út;;
852;1;473;8117. sz. út;;
852;1;474;8119. sz. út;;
