CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV;RDID
852;3;4309;L;7;0;;;3924;11961;395;;
852;3;51532;L;5;0;;2852;3930;1320;23;;
852;3;52082;L;5;0;;11714;3940;10183;3192;;
852;3;51359;L;5;0;;722;3941;3792;3190;;
852;3;51745;L;5;0;;5227;3941;3792;3190;;
852;3;51728;L;5;0;;5053;3941;11226;3179;;
852;3;52020;L;5;0;;10798;3942;2683;23;;
852;3;50872;L;1;3;6547;;3946;3945;440;;
852;3;51002;L;1;3;7365;;3951;12408;20;;
852;3;51264;L;1;3;8613;;7496;1922;10;;
852;3;51382;L;5;0;;866;3960;865;23;;
852;3;51386;L;5;0;;946;3960;3023;3191;;
852;3;51973;L;5;0;;10308;3963;681;3190;;
852;3;51946;L;5;0;;9833;3963;862;23;;
852;3;51786;L;1;2;;6070;3963;6282;23;;
852;3;51631;L;5;0;;3939;3963;9518;3186;;
852;3;51832;L;5;0;;8116;3963;12164;3190;;
852;3;4863;L;7;0;;;3965;1806;314;;
852;3;4287;L;7;0;;;3965;11961;314;;
852;3;51514;L;5;0;;2726;3969;2876;3187;;
852;3;52103;L;5;0;;12031;3969;2876;3187;;
852;3;51439;L;5;0;;1764;3969;8224;3187;;
852;3;52019;L;5;0;;10794;3969;9707;3187;;
852;3;51445;L;5;0;;1821;3980;5355;3178;;
852;3;51850;L;5;0;;8448;3980;8449;2;;
852;3;51700;L;5;0;;4587;3980;9237;3178;;
852;3;51618;L;5;0;;3846;3980;10176;3178;;
852;3;51447;L;5;0;;1877;3988;2461;23;;
852;3;50840;L;1;3;6507;;3991;5066;2;;
852;3;50498;L;1;3;4422;;3993;7726;67;;
852;3;50499;L;1;3;4423;;3994;11606;67;;
852;3;51972;L;5;0;;10307;3996;8865;3180;;
852;3;4793;L;7;0;;;3997;1806;696;;
852;3;4223;L;7;0;;;3997;3719;696;;
852;3;4915;L;7;0;;;4002;1806;1208;;
852;3;4341;L;7;0;;;4002;11961;1208;;
852;3;51440;L;5;0;;1764;4008;11221;3197;;
852;3;51911;L;5;0;;9549;4008;11221;3197;;
852;3;51350;L;5;0;;647;4008;12029;3197;;
852;3;51213;L;1;3;8443;;4011;10954;20;;
852;3;51758;L;5;0;;5300;4024;7946;3185;;
852;3;51937;L;5;0;;9767;4026;8113;3191;;
852;3;50162;L;1;3;2607;;4030;10985;7;;
852;3;50853;L;1;3;6521;;4033;4032;1596;;
852;3;50320;L;1;3;3704;;4035;583;7;;
852;3;5019;L;7;0;;;4038;1806;378;;
852;3;4441;L;7;0;;;4038;9851;378;;
852;3;6368;L;7;0;;;4041;9631;79;;
852;3;6366;L;7;0;;;4041;10612;79;;
852;3;51201;L;1;3;8431;;4043;7950;2611;;
852;3;4769;L;7;0;;;4047;1806;288;;
852;3;4199;L;7;0;;;4047;3719;288;;
852;3;50843;L;1;2;651;;4058;4061;19;;
852;3;50842;L;1;3;6509;;4059;10997;2;;
852;3;50833;L;1;3;6407;;4062;4060;19;;
852;3;51903;L;5;0;;9398;4064;2968;23;;
852;3;51737;L;5;0;;5093;4073;2366;3188;;
852;3;51579;L;5;0;;3337;4075;10857;3180;;
852;3;51184;L;1;3;8413;;4082;5305;21;;
852;3;51278;L;1;3;8617;;4088;1949;10;;
852;3;5079;L;7;0;;;4094;1806;553;;
852;3;4499;L;7;0;;;4094;4099;401;;
852;3;50795;L;1;3;6205;;4097;4096;9;;
852;3;51279;L;1;3;8618;;4101;5530;2;;
852;3;50668;L;1;3;5302;;4108;4885;5;;
852;3;50852;L;1;3;6519;;4136;7979;2;;
852;3;4867;L;7;0;;;4138;1806;314;;
852;3;4291;L;7;0;;;4138;11961;314;;
852;3;51217;L;1;3;8447;;4143;8653;20;;
852;3;51772;L;5;0;;5441;4149;1409;3181;;
852;3;51643;L;5;0;;3988;4149;1877;3181;;
852;3;50419;L;1;3;4141;;4151;3129;17;;
852;3;50417;L;1;3;4138;;4153;9521;17;;
852;3;50695;L;1;3;5414;;4157;4161;5;;
852;3;50696;L;1;3;5416;;4160;4963;5;;
852;3;51206;L;1;3;8435;;4164;4173;542;;
852;3;51236;L;1;3;8507;;4180;3689;254;;
852;3;51237;L;1;3;8508;;4181;11900;10;;
852;3;51915;L;5;0;;9556;4190;1489;3189;;
852;3;52081;L;5;0;;11705;4190;1489;3189;;
852;3;51801;L;5;0;;7779;4190;7781;23;;
852;3;50240;L;1;3;3226;;4192;1486;18;;
852;3;50242;L;1;3;3228;;4194;4246;18;;
852;3;50222;L;1;3;3205;;4198;11131;2;;
852;3;50216;L;1;3;3125;;4206;4222;18;;
852;3;51900;L;5;0;;9379;4214;5724;23;;
852;3;51534;L;5;0;;2861;4214;9035;23;;
852;3;51663;L;5;0;;4220;4215;4217;3186;;
852;3;50217;L;1;3;3126;;4229;1655;2;;
852;3;50245;L;1;3;3232;;4235;4249;18;;
852;3;50564;L;1;3;4615;;4237;4238;2;;
852;3;52126;L;5;0;;12291;4251;10714;3179;;
852;3;51423;L;5;0;;1421;4252;861;23;;
852;3;50114;L;1;3;2405;;4257;830;2;;
852;3;4403;L;7;0;;;4264;2271;56;;
852;3;4981;L;7;0;;;4264;6039;56;;
852;3;51877;L;5;0;;8912;4266;10354;3181;;
852;3;51841;L;5;0;;8257;4266;12077;3181;;
852;3;50895;L;1;3;6703;;4273;9596;16;;
852;3;5957;L;7;0;;;4274;2509;35;;
852;3;5965;L;7;0;;;4274;8382;1162;;
852;3;50580;L;1;3;4801;;4279;10022;11;;
852;3;51344;L;1;3;4802;;4280;10972;11;;
852;3;50832;L;1;3;6404;;4284;5380;9;;
852;3;51719;L;5;0;;4823;4289;8582;2;;
852;3;51876;L;5;0;;8897;4291;4372;3186;;
852;3;51574;L;5;0;;3250;4291;7832;3186;;
852;3;51971;L;5;0;;10305;4295;8168;3179;;
852;3;51166;L;1;3;8308;;4299;4300;10;;
852;3;50827;L;1;3;6319;;4303;4304;19;;
852;3;4901;L;7;0;;;4309;1806;407;;
852;3;4327;L;7;0;;;4309;11961;407;;
852;3;50224;L;1;3;3207;;4310;696;12;;
852;3;4933;L;7;0;;;4331;1806;753;;
852;3;4359;L;7;0;;;4331;11961;753;;
852;3;50645;L;1;2;512;;4333;2546;2;;
852;3;50676;L;1;3;5312;;4339;936;5;;
852;3;51684;L;5;0;;4431;4344;10791;3184;;
852;3;51838;L;5;0;;8241;4345;5232;23;;
852;3;51711;L;5;0;;4759;4350;659;2;;
852;3;52143;L;1;4;81101;;4350;9160;15;;
852;3;50180;L;1;3;2628;;4360;10936;7;;
852;3;4949;L;7;0;;;4362;1806;713;;
852;3;4375;L;7;0;;;4362;11961;713;;
852;3;50225;L;1;3;3208;;4371;11236;12;;
852;3;51682;L;5;0;;4374;4372;5204;3186;;
852;3;51601;L;5;0;;3620;4374;5498;3186;;
852;3;50125;L;1;3;2417;;4375;12071;12;;
852;3;5167;L;7;0;;;4377;1806;802;;
852;3;4589;L;7;0;;;4377;5480;802;;
852;3;51109;L;1;3;8116;;4376;9115;9;;
852;3;50884;L;1;3;6616;;4382;5367;16;;
852;3;50892;L;1;3;6709;;4386;4387;16;;
852;3;6544;L;1;4;65146;;4403;379;35;;
852;3;50893;L;1;3;6701;;4411;3050;16;;
852;3;50839;L;1;3;6505;;4415;10451;16;;
852;3;51245;L;1;3;8601;;4427;4425;10;;
852;3;51004;L;1;3;7381;;4435;4165;20;;
852;3;50272;L;1;3;3401;;4451;5330;18;;
852;3;50433;L;1;3;4206;;4453;3117;2;;
852;3;50493;L;1;3;4418;;4459;3876;2;;
852;3;50976;L;1;3;7331;;4462;4167;2;;
852;3;51431;L;5;0;;1575;4465;2876;3187;;
852;3;51713;L;5;0;;4764;4467;5572;3182;;
852;3;51492;L;5;0;;2405;4467;9859;3183;;
852;3;50333;L;1;3;3718;;4468;10052;95;;
852;3;51400;L;5;0;;1283;4470;3066;3180;;
852;3;51504;L;5;0;;2528;4471;9151;2;;
852;3;51576;L;5;0;;3307;4473;11705;3189;;
852;3;52046;L;5;0;;11222;4481;4495;3195;;
852;3;51875;L;5;0;;8894;4482;8893;3190;;
852;3;51693;L;5;0;;4495;4483;11058;3197;;
852;3;50380;L;1;3;4606;;9420;1807;15;;
852;3;50674;L;1;3;5309;;4515;4897;5;;
852;3;51133;L;1;3;8155;;4517;9029;13;;
852;3;3381;L;1;2;445;;4519;11779;30;;
852;3;5035;L;7;0;;;4524;1806;30;;
852;3;4457;L;7;0;;;4524;9851;30;;
852;3;5029;L;7;0;;;4525;1806;151;;
852;3;4451;L;7;0;;;4525;9851;30;;
852;3;6764;L;7;0;;;4526;1814;30;;
852;3;6758;L;7;0;;;4526;9852;30;;
