CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN;JNID
852;3;28996;P;1;11;;2096;3401;;3194;;;51465;1;1;1;1;1;1;;;+01919595;+4745314;;0;
852;3;28997;P;1;13;;2096;1395;;3193;;;51465;1;1;1;1;1;1;;;+01920566;+4745847;;0;
852;3;29288;P;1;11;;2900;3401;;3194;;;51539;1;1;1;1;1;1;;;+01917697;+4745785;;0;
852;3;29289;P;1;11;;2900;5279;;3186;;;51539;1;1;1;1;1;1;;;+01917867;+4746750;;0;
852;3;31354;P;1;11;;11684;3401;;3186;;;52078;1;1;1;1;1;1;;;+01916053;+4746426;;0;
852;3;31355;P;1;11;;11684;3657;;3186;;;52078;1;1;1;1;1;1;;;+01916829;+4746788;;0;
852;3;31356;P;1;12;;11684;7621;;3186;;;52078;1;1;1;1;1;1;;;+01917023;+4746878;;0;
852;3;31357;P;1;11;;11684;7636;;3186;;;52078;1;1;1;1;1;1;;;+01917432;+4747072;;0;
852;3;31358;P;1;8;;11684;5279;;3186;;;52078;1;1;1;1;1;1;;;+01917809;+4747283;;0;
852;3;29848;P;1;12;;4291;3401;;3186;;;51676;1;1;1;1;1;1;;;+01914153;+4747135;;0;
852;3;29849;P;1;11;;4291;3250;;3186;;;51676;1;1;1;1;1;1;;;+01914483;+4747375;;0;
852;3;29850;P;1;11;;4291;8897;;3186;;;51676;1;1;1;1;1;1;;;+01914785;+4747570;;0;
852;3;29851;P;1;11;;4291;3657;;3186;;;51676;1;1;1;1;1;1;;;+01915178;+4747824;;0;
852;3;29852;P;1;11;;4291;7621;;3186;;;51676;1;1;1;1;1;1;;;+01915416;+4747976;;0;
852;3;29853;P;1;12;;4291;7636;;3186;;;51676;1;1;1;1;1;1;;;+01915850;+4748275;;0;
852;3;4892;P;4;0;;;6118;;611;;;4891;;;;;;;;;+01995549;+4773296;;0;
852;3;4318;P;4;0;;;6119;;611;;;4317;;;;;;;;;+01995708;+4773207;;0;
852;3;4888;P;4;0;;;6122;;395;;;4887;;;;;;;;;+01985163;+4772487;;0;
852;3;4314;P;4;0;;;6123;;940;;;4313;;;;;;;;;+01985614;+4772401;;0;
852;3;20769;P;1;12;;;3410;;52;;;50109;1;1;1;1;1;1;;;+01992810;+4777510;;0;
