CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
852;3;22921;852;3;6465
852;3;6462;852;3;6464
852;3;6464;852;3;6462
852;3;6455;852;3;6458
852;3;6458;852;3;6455
852;3;6454;852;3;6459
852;3;6459;852;3;6454
852;3;6453;852;3;6460
852;3;6460;852;3;6453
852;3;6449;852;3;6452
852;3;6452;852;3;6449
852;3;6447;852;3;6450
852;3;6450;852;3;6451
852;3;6451;852;3;6447
852;3;6445;852;3;6675
852;3;6675;852;3;6677
852;3;6677;852;3;6679
852;3;6679;852;3;6683
852;3;6683;852;3;21413
852;3;21413;852;3;22265
852;3;22265;852;3;6445
852;3;6444;852;3;6446
852;3;6446;852;3;6986
852;3;6986;852;3;6988
852;3;6988;852;3;6990
852;3;6990;852;3;6992
852;3;6992;852;3;6444
852;3;6440;852;3;6442
852;3;6442;852;3;7002
852;3;7002;852;3;7004
852;3;7004;852;3;7006
852;3;7006;852;3;7008
852;3;7008;852;3;6440
852;3;6438;852;3;6443
852;3;6443;852;3;6994
852;3;6994;852;3;6996
852;3;6996;852;3;6998
852;3;6998;852;3;7000
852;3;7000;852;3;6438
852;3;6437;852;3;20958
852;3;20958;852;3;6437
852;3;6436;852;3;6441
852;3;6441;852;3;6436
852;3;6435;852;3;7058
852;3;7058;852;3;7060
852;3;7060;852;3;7062
852;3;7062;852;3;7064
852;3;7064;852;3;22379
852;3;22379;852;3;6435
852;3;6433;852;3;6681
852;3;6681;852;3;6685
852;3;6685;852;3;6687
852;3;6687;852;3;6689
852;3;6689;852;3;6886
852;3;6886;852;3;6433
852;3;6432;852;3;6693
852;3;6693;852;3;6715
852;3;6715;852;3;6719
852;3;6719;852;3;6721
852;3;6721;852;3;6432
852;3;6428;852;3;6431
852;3;6431;852;3;6643
852;3;6643;852;3;6645
852;3;6645;852;3;6647
852;3;6647;852;3;6649
852;3;6649;852;3;6428
852;3;6425;852;3;6426
852;3;6426;852;3;6691
852;3;6691;852;3;6695
852;3;6695;852;3;6697
852;3;6697;852;3;6701
852;3;6701;852;3;6425
852;3;6422;852;3;6424
852;3;6424;852;3;6860
852;3;6860;852;3;6866
852;3;6866;852;3;6422
852;3;6421;852;3;6852
852;3;6852;852;3;6856
852;3;6856;852;3;6858
852;3;6858;852;3;6862
852;3;6862;852;3;6421
852;3;6420;852;3;6427
852;3;6427;852;3;6667
852;3;6667;852;3;6669
852;3;6669;852;3;6671
852;3;6671;852;3;6673
852;3;6673;852;3;6420
852;3;6419;852;3;6579
852;3;6579;852;3;6581
852;3;6581;852;3;6583
852;3;6583;852;3;6864
852;3;6864;852;3;6419
852;3;6418;852;3;6430
852;3;6430;852;3;20905
852;3;20905;852;3;6418
852;3;6417;852;3;20880
852;3;20880;852;3;6417
852;3;6411;852;3;6412
852;3;6412;852;3;6759
852;3;6759;852;3;6761
852;3;6761;852;3;6763
852;3;6763;852;3;6765
852;3;6765;852;3;6411
852;3;6408;852;3;6409
852;3;6409;852;3;6797
852;3;6797;852;3;6799
852;3;6799;852;3;6408
852;3;6401;852;3;6404
852;3;6404;852;3;6631
852;3;6631;852;3;6633
852;3;6633;852;3;6635
852;3;6635;852;3;6639
852;3;6639;852;3;6401
852;3;6400;852;3;6637
852;3;6637;852;3;6641
852;3;6641;852;3;6400
852;3;6399;852;3;6403
852;3;6403;852;3;6399
852;3;6395;852;3;6396
852;3;6396;852;3;6395
852;3;6394;852;3;6397
852;3;6397;852;3;6394
852;3;6393;852;3;6398
852;3;6398;852;3;6393
852;3;6390;852;3;20268
852;3;20268;852;3;6390
852;3;6386;852;3;6388
852;3;6388;852;3;6386
852;3;6385;852;3;6389
852;3;6389;852;3;6657
852;3;6657;852;3;6661
852;3;6661;852;3;6663
852;3;6663;852;3;6665
852;3;6665;852;3;21266
852;3;21266;852;3;6385
852;3;6377;852;3;6379
852;3;6379;852;3;6381
852;3;6381;852;3;6383
852;3;6383;852;3;20464
852;3;20464;852;3;20809
852;3;20809;852;3;6377
852;3;6365;852;3;6367
852;3;6367;852;3;6369
852;3;6369;852;3;6371
852;3;6371;852;3;25860
852;3;25860;852;3;26048
852;3;26048;852;3;6365
852;3;6347;852;3;6349
852;3;6349;852;3;6351
852;3;6351;852;3;6353
852;3;6353;852;3;8032
852;3;8032;852;3;20457
852;3;20457;852;3;6347
852;3;6339;852;3;6341
852;3;6341;852;3;6343
852;3;6343;852;3;6345
852;3;6345;852;3;20467
852;3;20467;852;3;6339
852;3;6331;852;3;6333
852;3;6333;852;3;6335
852;3;6335;852;3;6337
852;3;6337;852;3;20465
852;3;20465;852;3;6331
852;3;6323;852;3;6325
852;3;6325;852;3;6327
852;3;6327;852;3;6329
852;3;6329;852;3;20466
852;3;20466;852;3;20623
852;3;20623;852;3;20820
852;3;20820;852;3;6323
852;3;6317;852;3;6319
852;3;6319;852;3;6321
852;3;6321;852;3;6355
852;3;6355;852;3;20459
852;3;20459;852;3;20659
852;3;20659;852;3;6317
852;3;6297;852;3;6299
852;3;6299;852;3;6301
852;3;6301;852;3;6303
852;3;6303;852;3;21569
852;3;21569;852;3;22283
852;3;22283;852;3;23142
852;3;23142;852;3;6297
